Ticker,Date,Earnings Time,Current 7 Day Implied,Implied Move Weekly
AZO,"Dec. 5, 2017",BO,6.22%,7.36%
AVGO,"Dec. 6, 2017",AC,5.31%,5.65%
LULU,"Dec. 6, 2017",AC,9.31%,9.46%
CIEN,"Dec. 7, 2017",BO,8.88%,9.39%
DG,"Dec. 7, 2017",BO,5.66%,6.37%
