Ticker,Date,Earnings Time,Current 7 Day Implied,Implied Move Weekly,EPS Estimate
DLTR,"Nov. 21, 2017",BO,4.06%,,0.9
LOW,"Nov. 21, 2017",BO,3.33%,5.27%,1.02
HPE,"Nov. 21, 2017",AC,4.84%,7.57%,0.28
GME,"Nov. 21, 2017",AC,5.71%,10.36%,0.43
HPQ,"Nov. 21, 2017",AC,3.05%,,0.44
MDT,"Nov. 21, 2017",AC,1.91%,,0.98
CRM,"Nov. 21, 2017",AC,2.40%,5.76%,0.37
DE,"Nov. 22, 2017",BO,2.57%,5.77%,1.45
