Ticker,Date,Earnings Time,Current 7 Day Implied,Implied Move Weekly
CCL,"Dec. 19, 2017",BO,3.31%,3.64%
FDX,"Dec. 19, 2017",AC,3.20%,3.63%
MU,"Dec. 19, 2017",AC,7.96%,8.73%
NAV,"Dec. 19, 2017",BO,7.45%,7.89%
BBBY,"Dec. 20, 2017",AC,9.16%,10.43%
ACN,"Dec. 21, 2017",BO,3.81%,4.05%
KMX,"Dec. 21, 2017",BO,5.41%,6.25%
