Ticker,Date,Earnings Time,Current 7 Day Implied,Implied Move Weekly,Close,Earnings
AKS,1/30/2018,BO,8.82%,11.62%,6.29,-0.13
AET,1/30/2018,BO,1.50%,1.84%,191.869995,1.2
HCA,1/30/2018,BO,3.05%,4.10%,92.830002,1.87
HOG,1/30/2018,BO,4.84%,7.44%,54.700001,0.46
MCD,1/30/2018,BO,2.33%,3.19%,175.660004,1.59
NUE,1/30/2018,BO,3.33%,4.39%,68.239998,0.58
BA,1/31/2018,BO,4.22%,5.92%,343.109985,2.9
DHI,1/31/2018,BO,3.45%,5.11%,50.349998,0.53
LLY,1/31/2018,BO,2.09%,2.73%,85.010002,1.07
EPD,1/31/2018,BO,2.70%,3.19%,29.110001,0.35
MSFT,1/31/2018,AC,2.89%,4.94%,92.330002,0.86
NOW,1/31/2018,AC,4.48%,6.77%,145.539993,0.35
MO,2/1/2018,BO,2.97%,3.42%,69.910004,0.8
BX,2/1/2018,BO,2.61%,3.60%,36.349998,0.67
CME,2/1/2018,BO,2.53%,4.12%,154.169998,1.09
CI,2/1/2018,BO,2.49%,3.15%,221.880005,1.88
COP,2/1/2018,BO,2.55%,3.42%,59.48,0.42
MPC,2/1/2018,BO,2.63%,3.60%,71.080002,1.02
AMZN,2/1/2018,AC,4.21%,6.73%,1377.949951,1.84
MA,2/1/2018,AC,2.98%,4.13%,168.589996,1.12
CHTR,2/2/2018,BO,4.00%,5.26%,375.140015,0.88
CVX,2/2/2018,BO,2.09%,2.87%,130.649994,1.28
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
