Date,prices,prices_delta,log_returns,daily_vol,daily_vol_dollar,price_dev,annual_vol
2012-02-28,67.739998,0.39000000000000057,0.005773944704219325,0.011621751747584225,0.7872574401378519,0.5160600586404471,0.18448958953822897
2012-02-29,67.019997,-0.7200009999999963,-0.010685780318566707,0.009544819561762612,0.6396937783948716,-0.914568682734737,0.1515193132164503
2012-03-01,70.860001,3.8400039999999933,0.05571507600325454,0.028371186281626663,2.0103822882872513,6.00287845480596,0.45037861980642885
2012-03-02,70.480003,-0.3799980000000005,-0.005377089356469966,0.030357444573253536,2.139592784595243,-0.1890177814507809,0.4819094926815371
2012-03-05,68.82,-1.6600030000000032,-0.023834623823855594,0.03536857832769399,2.4340655605119,-0.7758499710560737,0.5614587748859222
2012-03-06,66.050003,-2.7699969999999894,-0.04108232398086464,0.04217342327966813,2.78555473414235,-1.1380124861622218,0.6694823396055833
2012-03-07,68.66999799999999,2.6199949999999887,0.03890031711931474,0.03440737800679392,2.3627545789117823,0.9405648964232843,0.5462001928306199
2012-03-08,70.940002,2.2700040000000143,0.032522084030529363,0.04006738918105798,2.842380668639032,0.9607447257791428,0.6360500847403161
2012-03-09,72.089996,1.1499939999999924,0.016080805391974096,0.03641678039476152,2.6252855529912362,0.40458831313070537,0.5780984668451494
2012-03-12,72.269997,0.1800010000000043,0.0024937808535998585,0.01644047273863718,1.1881529154998909,0.06856435095028506,0.2609844138166259
2012-03-13,72.889999,0.6200019999999995,0.008542377890930375,0.012990578613661253,0.9468832621591902,0.521820038407385,0.20621904239149136
2012-03-14,72.43,-0.45999899999999627,-0.006330863467583825,0.009484158757674657,0.6869376188183755,-0.4858032857725826,0.15055635280477467
2012-03-15,74.239998,1.8099979999999931,0.024682483331054605,0.013071414049137654,0.9704217528651513,2.634879718937844,0.20750226514784434
2012-03-16,72.040001,-2.199996999999996,-0.030081527349357096,0.02327112113833265,1.6764515900766053,-2.26705243725684,0.3694175955701191
2012-03-19,73.050003,1.010002,0.013922645075536977,0.02413048642048884,1.7627321054081693,0.6024641605987848,0.38305959650180793
2012-03-20,72.889999,-0.1600040000000007,-0.002192737589650662,0.023824017692467676,1.7365326257799514,-0.09077045769410945,0.37819455626803417
2012-03-21,74.07,1.18000099999999,0.016059150350379525,0.02129263477954704,1.5771454581210491,0.6795155947444413,0.3380100983040365
2012-03-22,75.949997,1.879997000000003,0.025064597516911924,0.011349027589022568,0.8619586113391813,1.1920251174801337,0.18016022773778803
2012-03-23,75.879997,-0.06999999999999318,-0.0009220840114068096,0.013299361848650552,1.0091555371775183,-0.08121039581150856,0.21112082428433757
2012-03-26,75.230003,-0.6499940000000066,-0.008602978080864965,0.015398837551015516,1.1584545951594099,-0.6440969464607591,0.2444489678368197
2012-03-27,74.68,-0.5500029999999896,-0.007337808776315846,0.01570691861466393,1.1729926821431025,-0.47477303150090755,0.24933960310519152
2012-03-28,73.32,-1.3600000000000136,-0.018378895702017672,0.007210945104332382,0.5287064950496502,-1.1594275230389688,0.11447020478281315
2012-03-29,73.150002,-0.16999799999999254,-0.002321268164291901,0.00671781078262589,0.4914078721847054,-0.3215356754488674,0.10664194011369775
2012-03-30,74.730003,1.5800009999999958,0.021369503279505153,0.016758620470820648,1.2523717580602884,3.21525374222357,0.26603485249384573
2012-04-02,74.739998,0.009995000000003529,0.00013373921118731147,0.016326710383972445,1.2202583014446797,0.00798085707033516,0.25917849242260177
2012-04-03,76.610001,1.870002999999997,0.024712232283950364,0.01403662974088162,1.0753462184855707,1.5324648869719435,0.22282458923919463
2012-04-04,75.300003,-1.3099979999999931,-0.0172474549353705,0.019621893719693258,1.4775286559585836,-1.2182104493238344,0.311487906206691
2012-04-05,77.059998,1.7599949999999893,0.023104138597723534,0.020052638847900803,1.545256309513958,1.1911748668306867,0.3183257731328298
2012-04-09,75.970001,-1.0899969999999968,-0.014245774565988079,0.02293687862664892,1.7425146922033972,-0.7053826561257287,0.3641116601891146
2012-04-10,71.440002,-4.5299989999999895,-0.06148057411445684,0.03461038613905524,2.472566054994879,-2.599690562305583,0.5494228470231428
2012-04-11,73.059998,1.6199959999999862,0.022423029428611407,0.039964146129092847,2.9197804362632307,0.6551881583617961,0.6344111520997457
2012-04-12,73.129997,0.06999900000000991,0.0009576442676477726,0.035597261108781905,2.6032275980934374,0.02397406295714326,0.5650890014932097
2012-04-13,73.510002,0.38000499999999704,0.005182840333155525,0.03669490858189709,2.6974428032450724,0.14597455876632018,0.5825136149396972
2012-04-16,73.400002,-0.10999999999999943,-0.0014975157247523185,0.01079616679671673,0.7924386644713416,-0.04077936327979501,0.17138383474131175
2012-04-17,74.910004,1.510002,0.020363483488774037,0.009804119281152815,0.7344266145676345,1.905512776824646,0.15563556865166214
2012-04-18,74.779999,-0.13000499999999704,-0.0017369901807917643,0.010365627127950437,0.7751415862625066,-0.17701564379789328,0.16454922938268934
2012-04-19,72.959999,-1.8200000000000074,-0.024639124116473177,0.01837495587315229,1.340636762130235,-2.3479581437186017,0.29169338155288
2012-04-20,73.699997,0.7399979999999999,0.010091426429791994,0.019342981292711104,1.4255776632438644,0.5519750173224874,0.3070603086905295
2012-04-23,73.82,0.12000299999999697,0.0016269391121248589,0.01484222569488668,1.0956531007965347,0.08417850748792831,0.23561302854817795
2012-04-24,70.18,-3.6399999999999864,-0.050566327446782466,0.02745220819335809,1.9265959710098708,-3.322219411740562,0.43579029491517157
